restaurant_id,DBA,BORO,CUISINE DESCRIPTION,Latitude,Longitude
50117358,POKE FUN,Manhattan,Chinese/Japanese,40.76366473,-73.98879842
50117362,TEXTBOOK COFFEE,Brooklyn,Coffee/Tea,40.68978501,-73.97783451
50117376,LA MEZCLA,Queens,Latin American,40.75762532,-73.78185414
50117379,LIU'S GARDEN,Queens,Chinese,40.74930553,-73.7076448
50117397,PRIME MET STEAKHOUSE & ROOFTOP LOUNGE,Queens,Steakhouse,40.76060506,-73.83364082
50117413,WOLFNIGHTS,Manhattan,Sandwiches,40.76223281,-73.97629778
50117415,SOULKOFA,Brooklyn,Vegan,40.68154857,-73.92247184
50117424,THE FLYING FOX TAVERN,Queens,American,40.7051799,-73.90619949
50117425,GEE'S CARIBBEAN RESTAURANT,Brooklyn,Caribbean,40.6722455,-73.9502877
50117428,GADFLY BAR,Manhattan,American,40.73990663,-74.00079029
50117431,REYNA RESTAURANT,Bronx,Spanish,40.85431783,-73.91182274
50117434,LA POLLERA COLORADA,Queens,Latin American,40.75558213,-73.88514993
50117446,GALLEGO SEAFOOD 2 RESTAURANT,Manhattan,Seafood,40.8650856,-73.91955631
50117450,LYLA'S BODEGA,Manhattan,Latin American,40.7853682,-73.97556007
50117455,RAJ'S INDIAN KITCHEN,Queens,Indian,40.74962069,-73.9391749
50117456,POPEYES LOUISIANA KITCHEN,Queens,Chicken,40.70229436,-73.8553038
50117461,DIEM EATERY,Brooklyn,Asian/Asian Fusion,40.6911156,-73.99748303
50117462,LA HUECA EPA,Queens,Latin American,40.75768935,-73.86434055
50117478,SUNSET BAGELS,Brooklyn,American,40.62128266,-74.02640045
50117493,LUCY'S VIETNAMESE,Queens,Southeast Asian,40.70580077,-73.91032116
50117495,PALOMA COFFEE & BAKERY,Brooklyn,Coffee/Tea,40.71075776,-73.9510957
50117504,HO WON ON FORSYTH,Manhattan,Bakery Products/Desserts,40.71862074,-73.99272373
50117506,AROMI,Brooklyn,Italian,40.67501478,-73.99944842
50117510,BNP PARIBAS COFFEE BAR,Manhattan,Coffee/Tea,40.76194849,-73.9826223
50117513,FLOWERS ON THE PARK CAFE,Manhattan,Coffee/Tea,40.78710286,-73.97544748
50117518,KYURAMEN & TBAAR,Brooklyn,Japanese,40.67789495,-73.9794356
50117519,CAFE METRO,Manhattan,American,40.7538883,-73.97424702
50117520,MALA HOUSE,Manhattan,Chinese,40.73966183,-73.98914168
